fix_name,latitude,longitude,type
08MO,37.39560555,-94.28383611,AIRPORT
08MS,34.66222222,-89.86833333,AIRPORT
08MT,47.06386277,-108.81736916,AIRPORT
08N,40.29155138,-76.32874722,AIRPORT
08ND,47.32306388,-102.09767305,AIRPORT
08NH,44.06248611,-71.13717222,AIRPORT
08NJ,40.76260055,-74.30403722,AIRPORT
08NR,35.21777777,-82.42611111,AIRPORT
08NY,41.36726061,-74.51893441,AIRPORT
08OH,41.29172222,-80.56368388,AIRPORT
08OK,34.93148611,-95.25830277,AIRPORT
08OL,35.4080875,-98.60547777,AIRPORT
08OR,42.83931166,-121.1172175,AIRPORT
08PA,41.06163888,-75.50920833,AIRPORT
08R,41.4895,-71.62063888,AIRPORT
08SC,34.50997222,-82.64665833,AIRPORT
08SD,43.32593055,-98.34513888,AIRPORT
08TA,29.95188138,-98.22445638,AIRPORT
08TE,30.19777777,-99.3175,AIRPORT
08TN,35.29891388,-86.47435694,AIRPORT
08TS,32.02933888,-97.01060833,AIRPORT
08TT,30.30880277,-99.02222777,AIRPORT
08TX,32.85818111,-97.74752944,AIRPORT
08U,41.51575122,-115.85992069,AIRPORT
08UT,38.33501691,-109.13517602,AIRPORT
08VA,37.55394722,-79.74906388,AIRPORT
08WA,46.97041666,-122.72588888,AIRPORT
08WI,44.58198611,-88.14225,AIRPORT
08XA,30.47925277,-96.50403055,AIRPORT
08XS,29.10805555,-95.7775,AIRPORT
09A,32.11930555,-88.12747222,AIRPORT
09AA,62.96988888,-150.75375,AIRPORT
09AK,61.58936111,-149.84733333,AIRPORT
09AL,32.84241111,-87.890525,AIRPORT
09AN,59.67210838,-151.65785738,AIRPORT
09AR,33.27394444,-93.23976388,AIRPORT
09AZ,31.92533333,-110.03816666,AIRPORT
09CA,36.20552561,-121.13254872,AIRPORT
09CL,39.11206355,-121.05518858,AIRPORT
09CO,38.05556333,-103.65328027,AIRPORT
09FA,27.24560222,-81.41312888,AIRPORT
09FD,28.67110361,-82.08730666,AIRPORT
09FL,25.96005555,-80.24180555,AIRPORT
09GE,34.45841805,-84.18037083,AIRPORT
09I,48.60583333,-93.37083333,AIRPORT
09IA,41.74583166,-92.40935138,AIRPORT
09ID,45.10388888,-114.85527777,AIRPORT
09IL,38.58327777,-89.93419444,AIRPORT
09IN,41.12088,-85.42497722,AIRPORT
09IS,42.26586388,-89.07355833,AIRPORT
09J,31.07447222,-81.42777777,AIRPORT
09K,41.63491666,-99.34213888,AIRPORT
09KS,38.70695333,-95.13830333,AIRPORT
09KY,38.23898888,-85.63883055,AIRPORT
09LA,29.12453888,-90.20535833,AIRPORT
09LL,42.4680725,-88.74315861,AIRPORT
09LS,30.82511666,-91.38467777,AIRPORT
09M,33.99136111,-90.07855555,AIRPORT
09MD,39.576412,-79.372047,AIRPORT
09ME,43.34083333,-70.85472222,AIRPORT
09MI,42.70809055,-84.56081222,AIRPORT
09MN,45.07660316,-92.98596966,AIRPORT
09MT,45.9093455,-113.763183,AIRPORT
09N,41.83263888,-73.87616666,AIRPORT
09NC,35.329325,-79.030025,AIRPORT
09NE,41.33333083,-96.19363166,AIRPORT
09NJ,40.65371277,-74.68654944,AIRPORT
09NR,35.65,-79.65,AIRPORT
09NV,35.97968888,-115.15018333,AIRPORT
09NY,41.92381666,-74.04275,AIRPORT
09OH,39.854123,-84.270606,AIRPORT
09OK,36.35453888,-95.86388333,AIRPORT
09OR,45.58723888,-121.16382222,AIRPORT
09PA,40.82700388,-77.98806027,AIRPORT
09R,30.77520055,-94.4585325,AIRPORT
09S,48.84089527,-117.28398583,AIRPORT
09T,33.28132069,-97.49669333,AIRPORT
09TA,33.72441666,-96.29830555,AIRPORT
09TN,35.94164166,-83.943825,AIRPORT
09TS,29.48263055,-103.16297777,AIRPORT
09UT,38.27582505,-109.72967836,AIRPORT
09VA,36.97651777,-80.49394361,AIRPORT
